Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,k_ratio,ret_dd,numOptimisations (.KB_ES_60_KB_2503_001)
50625,2414,54.7638773819387,20.9714167357084,-76037.5,1.04725070876063,68.9713896457766,0,0.389454474833043,0.665789906296235,435
50100,2414,54.8053024026512,20.7539353769677,-76037.5,1.04676779463244,68.2561307901907,0,0.386970689974631,0.658885418379089,436
19362.5,5185,50.9546769527483,3.73432979749277,-57137.5,1.01798736587858,35.7324106113033,0,0.265429619194311,0.338875519579961,437
2175,3461,50.1011268419532,0.628431089280555,-71650,1.00210051064138,3.16766794101584,0,0.209722974581022,0.0303558967201675,438
42112.5,3587,52.0490660719264,11.7403122386395,-74875,1.03957802239113,58.1664364640884,0,0.294594836043829,0.562437395659432,439
30875,3731,51.1927097292951,8.27526132404181,-65200,1.02870857886723,49.738219895288,0,0.265206563857552,0.473542944785276,440
50250,2414,54.7638773819387,20.8160729080365,-76037.5,1.04688702792227,68.4604904632153,0,0.387591968165361,0.66085812921256,441
42112.5,3587,52.0490660719264,11.7403122386395,-74875,1.03957802239113,58.1664364640884,0,0.294594836043829,0.562437395659432,442
76037.5,3851,51.8306933264087,19.7448714619579,-46362.5,1.07227727477959,181.149493746278,0,0.528774939680921,1.64006470746832,443
13025,5563,51.6807477979507,2.34136257415064,-49850,1.01110022157832,27.23470987977,0,0.211601744493344,0.261283851554664,444
65737.5,3906,51.9713261648746,16.8298771121352,-38562.5,1.06351986279033,180.908152734778,0,0.440982463640446,1.70470016207455,445
59225,4110,53.1630170316302,14.4099756690998,-44375,1.05686168616862,141.053885084847,0,0.450736085710149,1.33464788732394,446
48950,2414,54.9710024855012,20.2775476387738,-75625,1.04569694848007,66.6099676815785,0,0.380327724490889,0.647272727272727,447
50650,2414,54.8881524440762,20.9817729908865,-76037.5,1.0473010833022,69.0054495912807,0,0.389612071850677,0.666118691435147,448
42112.5,3587,52.0490660719264,11.7403122386395,-74875,1.03957802239113,58.1664364640884,0,0.294594836043829,0.562437395659432,449
59225,4110,53.1630170316302,14.4099756690998,-44375,1.05686168616862,141.053885084847,0,0.450736085710149,1.33464788732394,450
30875,3731,51.1927097292951,8.27526132404181,-65200,1.02870857886723,49.738219895288,0,0.265206563857552,0.473542944785276,451
30875,3731,51.1927097292951,8.27526132404181,-65200,1.02870857886723,49.738219895288,0,0.265206563857552,0.473542944785276,452
59225,4110,53.1630170316302,14.4099756690998,-44375,1.05686168616862,141.053885084847,0,0.450736085710149,1.33464788732394,453
77162.5,3976,52.364185110664,19.4070674044266,-47075,1.07720882529518,169.541334798132,0,0.287546977677997,1.63913967073818,454
30875,3731,51.1927097292951,8.27526132404181,-65200,1.02870857886723,49.738219895288,0,0.265206563857552,0.473542944785276,455
50625,2414,54.7638773819387,20.9714167357084,-76037.5,1.04725070876063,68.9713896457766,0,0.389454474833043,0.665789906296235,456
50625,2414,54.7638773819387,20.9714167357084,-76037.5,1.04725070876063,68.9713896457766,0,0.389454474833043,0.665789906296235,457
30875,3731,51.1927097292951,8.27526132404181,-65200,1.02870857886723,49.738219895288,0,0.265206563857552,0.473542944785276,458
50625,2414,54.7638773819387,20.9714167357084,-76037.5,1.04725070876063,68.9713896457766,0,0.389454474833043,0.665789906296235,459
30875,3731,51.1927097292951,8.27526132404181,-65200,1.02870857886723,49.738219895288,0,0.265206563857552,0.473542944785276,460
50250,2414,54.7638773819387,20.8160729080365,-76037.5,1.04688702792227,68.4604904632153,0,0.387591968165361,0.66085812921256,461
50650,2414,54.8881524440762,20.9817729908865,-76037.5,1.0473010833022,69.0054495912807,0,0.389612071850677,0.666118691435147,462
48062.5,3808,52.3897058823529,12.6214548319328,-62950,1.04464078391306,79.360165118679,0,0.359582389716582,0.763502779984114,463
42112.5,3587,52.0490660719264,11.7403122386395,-74875,1.03957802239113,58.1664364640884,0,0.294594836043829,0.562437395659432,464
50925,2414,54.9710024855012,21.0956917978459,-76037.5,1.04756234239283,69.3801089918256,0,0.390907196682724,0.669735327963176,465
76037.5,3851,51.8306933264087,19.7448714619579,-46362.5,1.07227727477959,181.149493746278,0,0.528774939680921,1.64006470746832,466
59225,4110,53.1630170316302,14.4099756690998,-44375,1.05686168616862,141.053885084847,0,0.450736085710149,1.33464788732394,467
50100,2414,54.8053024026512,20.7539353769677,-76037.5,1.04676779463244,68.2561307901907,0,0.386970689974631,0.658885418379089,468
50100,2414,54.8053024026512,20.7539353769677,-76037.5,1.04676779463244,68.2561307901907,0,0.386970689974631,0.658885418379089,469
77162.5,3976,52.364185110664,19.4070674044266,-47075,1.07720882529518,169.541334798132,0,0.287546977677997,1.63913967073818,470
76037.5,3851,51.8306933264087,19.7448714619579,-46362.5,1.07227727477959,181.149493746278,0,0.528774939680921,1.64006470746832,471
50925,2414,54.9710024855012,21.0956917978459,-76037.5,1.04756234239283,69.3801089918256,0,0.390907196682724,0.669735327963176,472
48950,2414,54.9710024855012,20.2775476387738,-75625,1.04569694848007,66.6099676815785,0,0.380327724490889,0.647272727272727,473
76037.5,3851,51.8306933264087,19.7448714619579,-46362.5,1.07227727477959,181.149493746278,0,0.528774939680921,1.64006470746832,474
77162.5,3976,52.364185110664,19.4070674044266,-47075,1.07720882529518,169.541334798132,0,0.287546977677997,1.63913967073818,475
76037.5,3851,51.8306933264087,19.7448714619579,-46362.5,1.07227727477959,181.149493746278,0,0.528774939680921,1.64006470746832,476
48950,2414,54.9710024855012,20.2775476387738,-75625,1.04569694848007,66.6099676815785,0,0.380327724490889,0.647272727272727,477
19362.5,5185,50.9546769527483,3.73432979749277,-57137.5,1.01798736587858,35.7324106113033,0,0.265429619194311,0.338875519579961,478
13025,5563,51.6807477979507,2.34136257415064,-49850,1.01110022157832,27.23470987977,0,0.211601744493344,0.261283851554664,479
77162.5,3976,52.364185110664,19.4070674044266,-47075,1.07720882529518,169.541334798132,0,0.287546977677997,1.63913967073818,480
50925,2414,54.9710024855012,21.0956917978459,-76037.5,1.04756234239283,69.3801089918256,0,0.390907196682724,0.669735327963176,481
65737.5,3906,51.9713261648746,16.8298771121352,-38562.5,1.06351986279033,180.908152734778,0,0.440982463640446,1.70470016207455,482
50650,2414,54.8881524440762,20.9817729908865,-76037.5,1.0473010833022,69.0054495912807,0,0.389612071850677,0.666118691435147,483
77162.5,3976,52.364185110664,19.4070674044266,-47075,1.07720882529518,169.541334798132,0,0.287546977677997,1.63913967073818,484
19362.5,5185,50.9546769527483,3.73432979749277,-57137.5,1.01798736587858,35.7324106113033,0,0.265429619194311,0.338875519579961,485
59225,4110,53.1630170316302,14.4099756690998,-44375,1.05686168616862,141.053885084847,0,0.450736085710149,1.33464788732394,486
50250,2414,54.7638773819387,20.8160729080365,-76037.5,1.04688702792227,68.4604904632153,0,0.387591968165361,0.66085812921256,487
77162.5,3976,52.364185110664,19.4070674044266,-47075,1.07720882529518,169.541334798132,0,0.287546977677997,1.63913967073818,488
65737.5,3906,51.9713261648746,16.8298771121352,-38562.5,1.06351986279033,180.908152734778,0,0.440982463640446,1.70470016207455,489
48950,2414,54.9710024855012,20.2775476387738,-75625,1.04569694848007,66.6099676815785,0,0.380327724490889,0.647272727272727,490
30875,3731,51.1927097292951,8.27526132404181,-65200,1.02870857886723,49.738219895288,0,0.265206563857552,0.473542944785276,491
77162.5,3976,52.364185110664,19.4070674044266,-47075,1.07720882529518,169.541334798132,0,0.287546977677997,1.63913967073818,492
65737.5,3906,51.9713261648746,16.8298771121352,-38562.5,1.06351986279033,180.908152734778,0,0.440982463640446,1.70470016207455,493
76037.5,3851,51.8306933264087,19.7448714619579,-46362.5,1.07227727477959,181.149493746278,0,0.528774939680921,1.64006470746832,494
65737.5,3906,51.9713261648746,16.8298771121352,-38562.5,1.06351986279033,180.908152734778,0,0.440982463640446,1.70470016207455,495
2175,3461,50.1011268419532,0.628431089280555,-71650,1.00210051064138,3.16766794101584,0,0.209722974581022,0.0303558967201675,496
50650,2414,54.8881524440762,20.9817729908865,-76037.5,1.0473010833022,69.0054495912807,0,0.389612071850677,0.666118691435147,497
48062.5,3808,52.3897058823529,12.6214548319328,-62950,1.04464078391306,79.360165118679,0,0.359582389716582,0.763502779984114,498
19362.5,5185,50.9546769527483,3.73432979749277,-57137.5,1.01798736587858,35.7324106113033,0,0.265429619194311,0.338875519579961,499
59225,4110,53.1630170316302,14.4099756690998,-44375,1.05686168616862,141.053885084847,0,0.450736085710149,1.33464788732394,500
